DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-15,109476,0,2,Sun,1,68.088832
2020-03-20,219156,0,1,Fri,1,64.8574976
2020-03-15,105485,1,1,Sun,1,116.7979008
2020-03-17,122473,0,1,Tue,1,118.2569472
2020-03-15,201323,0,1,Sun,1,47.2994816
2020-03-19,145349,0,1,Thu,1,41.0264064
2020-03-28,452251,0,1,Sat,1,93.7416704
2020-03-10,148032,0,3,Tue,1,216.5323776
2020-03-09,135542,3,4,Mon,2,391.13984
2020-03-14,136259,0,1,Sat,1,59.227392
2020-03-17,229167,0,1,Tue,1,61.0573824
2020-03-24,454879,0,1,Tue,1,50.736896
2020-03-13,200028,0,2,Fri,1,151.5429888
2020-03-13,106120,1,1,Fri,2,168.9114112
2020-03-08,434873,2,1,Sun,1,100.690688
2020-03-07,435195,0,1,Sat,3,170.6095104
2020-03-09,647854,3,1,Mon,1,55.353088
2020-03-06,112870,1,1,Fri,1,103.5675648
2020-03-13,111890,1,1,Fri,1,48.263936
2020-03-20,112743,0,2,Fri,1,140.6042624
2020-03-07,722450,0,1,Sat,1,100.6247424
2020-03-24,108261,0,1,Tue,1,68.6163968
2020-03-01,364323,0,2,Sun,1,206.5086464
2020-03-08,326780,6,1,Sun,1,96.2476032
2020-03-13,107714,1,1,Fri,2,132.7814656
2020-03-02,217932,0,1,Mon,1,61.4777856
2020-03-22,441504,2,1,Sun,1,120.1528832
2020-03-05,218146,0,1,Thu,1,50.2175744
2020-03-10,778212,3,2,Tue,1,208.9898496
2020-03-07,173747,0,1,Sat,1,75.8539264
2020-03-08,107375,0,1,Sun,1,80.1568768
2020-03-27,200957,0,1,Fri,1,50.6214912
2020-03-15,239924,0,1,Sun,2,161.7068544
2020-03-25,147899,0,1,Wed,1,45.1397632
2020-03-15,234397,0,1,Sun,1,115.3470976
2020-03-04,1855837,3,1,Wed,1,111.6294144
2020-03-19,202023,0,1,Thu,1,58.9141504
2020-03-14,131486,0,1,Sat,1,114.456832
2020-03-04,163446,3,1,Wed,2,162.7537408
2020-03-04,208780,0,1,Wed,1,64.049664
2020-03-19,264403,0,1,Thu,1,64.7420928
2020-03-09,311298,18,2,Mon,1,242.5396736
2020-03-07,204233,0,1,Sat,2,154.930944
2020-03-14,106146,0,2,Sat,1,133.5975424
2020-03-14,422006,1,1,Sat,1,70.108416
2020-03-27,275873,0,1,Fri,1,63.596288
2020-03-21,430661,0,1,Sat,1,81.5829504
2020-03-14,193508,0,1,Sat,1,74.3206912
2020-03-14,514321,2,7,Sat,1,241.4598144
2020-03-20,307767,1,1,Fri,1,76.785408
2020-03-14,202894,0,1,Sat,1,108.5876736
2020-03-11,126649,1,1,Wed,1,85.646848
2020-03-24,152529,0,1,Tue,1,54.5617408
2020-03-07,105465,0,1,Sat,1,177.1381248
2020-03-06,130555,1,1,Fri,1,49.5663616
2020-03-29,170341,0,1,Sun,1,80.7586304
2020-03-10,340830,0,1,Tue,1,82.143488
2020-03-01,455732,0,1,Sun,1,45.007872
2020-03-12,111890,0,4,Thu,1,158.2776832
2020-03-02,201898,0,1,Mon,2,92.365056
2020-03-21,206970,0,1,Sat,1,112.1322496
2020-03-10,107689,0,1,Tue,1,89.3645312
2020-03-03,134838,0,1,Tue,1,48.8492032
2020-03-07,113139,0,1,Sat,1,73.0182656
2020-03-04,117697,6,2,Wed,1,137.0926592
2020-03-03,113414,0,1,Tue,1,73.7271808
2020-03-09,134606,0,1,Mon,1,49.7147392
2020-03-04,455136,0,1,Wed,1,35.3468416
2020-03-14,117699,0,1,Sat,1,55.2459264
2020-03-06,134993,0,1,Fri,2,112.5361664
2020-03-16,194639,0,1,Mon,2,163.6110336
2020-03-26,114506,0,1,Thu,1,57.2242944
2020-03-03,206903,0,1,Tue,1,141.618176
2020-03-17,261122,0,1,Tue,1,58.0568576
2020-03-20,113401,0,2,Fri,1,131.68512
2020-03-15,530716,0,1,Sun,1,77.9559424
2020-03-01,152182,0,1,Sun,1,53.5643136
2020-03-09,112922,1,1,Mon,1,147.8088192
2020-03-22,118263,0,1,Sun,2,98.6216448
2020-03-19,234966,0,1,Thu,2,98.4155648
2020-03-09,1041113,11,2,Mon,1,244.9302016
2020-03-10,751335,0,1,Tue,1,129.5254016
2020-03-09,111234,4,1,Mon,1,55.9795712
2020-03-11,109882,0,4,Wed,1,223.6709888
2020-03-30,142602,0,2,Mon,1,114.0529152
2020-03-03,108176,1,2,Tue,1,205.9398656
2020-03-09,107421,0,1,Mon,1,115.5861504
2020-03-03,130424,0,1,Tue,1,68.9708544
2020-03-15,231786,0,2,Sun,1,147.5862528
2020-03-03,126096,1,1,Tue,1,61.0491392
2020-03-15,258623,0,2,Sun,1,113.1296768
2020-03-29,702352,0,2,Sun,2,267.5000832
2020-03-27,211217,1,1,Fri,1,49.2366336
2020-03-13,223727,0,1,Fri,2,186.8898304
2020-03-13,314318,1,1,Fri,1,86.8915712
2020-03-03,108043,0,1,Tue,1,135.9633408
2020-03-16,105896,0,1,Mon,3,188.1675264
